id,setID,name,symbol,category,currency,quantity,price,averageCost,region,sector
20000000-0000-4000-8000-000000000001,hsbc-sg-current,Singapore dollar balance,SGD,Cash and FX,SGD,62800,1,1,Singapore,Cash
20000000-0000-4000-8000-000000000002,hsbc-sg-current,US dollar balance,USD,Cash and FX,USD,14800,1,1,United States,Cash
20000000-0000-4000-8000-000000000003,hsbc-sg-current,Hong Kong dollar balance,HKD,Cash and FX,HKD,42500,1,1,Hong Kong,Cash
20000000-0000-4000-8000-000000000004,hsbc-sg-current,Renminbi balance,CNY,Cash and FX,CNY,38600,1,1,Mainland China,Cash
20000000-0000-4000-8000-000000000005,hsbc-sg-equity,NVIDIA,NVDA,Stocks,USD,180,128.5,104,United States,Technology
20000000-0000-4000-8000-000000000006,hsbc-sg-equity,Apple,AAPL,Stocks,USD,120,226.8,205,United States,Technology
20000000-0000-4000-8000-000000000007,hsbc-sg-equity,Vanguard S&P 500 ETF,VOO,Unit trusts,USD,80,518.2,476,United States,Multi-sector
20000000-0000-4000-8000-000000000008,hsbc-sg-equity,DBS Group,D05,Stocks,SGD,500,43.2,38.6,Singapore,Financials
20000000-0000-4000-8000-000000000009,hsbc-sg-equity,Singapore Airlines,C6L,Stocks,SGD,2400,6.48,6.75,Singapore,Industrials
20000000-0000-4000-8000-000000000010,hsbc-sg-equity,US dollar balance,USD,Cash and FX,USD,8250,1,1,United States,Cash
20000000-0000-4000-8000-000000000011,hsbc-sg-unit-trust,Global Income Fund,GIF-SG,Unit trusts,SGD,26000,1.32,1.18,Global,Fixed income
20000000-0000-4000-8000-000000000012,hsbc-sg-unit-trust,Asia Growth Fund,AGF,Unit trusts,USD,2800,17.85,16.5,Mainland China,Multi-sector
20000000-0000-4000-8000-000000000013,hsbc-sg-unit-trust,European Equity Fund,EEF,Unit trusts,USD,1600,25.8,23.1,Europe,Multi-sector
20000000-0000-4000-8000-000000000014,hsbc-sg-unit-trust,Global Healthcare Fund,GHCF,Unit trusts,USD,1300,19.7,21.4,United States,Healthcare
20000000-0000-4000-8000-000000000015,hsbc-sg-unit-trust,Japan Opportunities Fund,JOF,Unit trusts,SGD,3800,8.62,7.9,Japan,Multi-sector
20000000-0000-4000-8000-000000000016,dbs-sg,Singapore Government Bond,SGS,Bonds,SGD,85000,1.058,1,Singapore,Government
20000000-0000-4000-8000-000000000017,dbs-sg,Global Income Fund,GIF,Unit trusts,SGD,42000,1.25,1.18,Global,Fixed income
20000000-0000-4000-8000-000000000018,dbs-sg,Singapore dollar balance,SGD,Cash and FX,SGD,46000,1,1,Singapore,Cash
20000000-0000-4000-8000-000000000019,dbs-sg,Singapore REIT Fund,SG-REIT,Unit trusts,SGD,12500,1.61,1.72,Singapore,Real estate
20000000-0000-4000-8000-000000000020,dbs-sg,Life protection policy,SG-LIFE,Insurance,SGD,1,38500,35000,Singapore,Insurance
20000000-0000-4000-8000-000000000021,hsbc-hk-current,Hong Kong dollar balance,HKD,Cash and FX,HKD,218500,1,1,Hong Kong,Cash
20000000-0000-4000-8000-000000000022,hsbc-hk-current,US dollar balance,USD,Cash and FX,USD,22600,1,1,United States,Cash
20000000-0000-4000-8000-000000000023,hsbc-hk-current,Renminbi balance,CNY,Cash and FX,CNY,78000,1,1,Mainland China,Cash
20000000-0000-4000-8000-000000000024,hsbc-hk-investment,Tencent,00700,Stocks,HKD,600,428.6,380,Mainland China,Technology
20000000-0000-4000-8000-000000000025,hsbc-hk-investment,Alibaba,09988,Stocks,HKD,1000,98.5,105,Mainland China,Consumer discretionary
20000000-0000-4000-8000-000000000026,hsbc-hk-investment,HSBC Holdings,00005,Stocks,HKD,1200,92.4,78.6,Hong Kong,Financials
20000000-0000-4000-8000-000000000027,hsbc-hk-investment,Meituan,03690,Stocks,HKD,400,137.2,153.4,Mainland China,Consumer discretionary
20000000-0000-4000-8000-000000000028,hsbc-hk-investment,NVIDIA December call option,NVDA-DEC-C150,Options,USD,100,9.45,8.2,United States,Technology
20000000-0000-4000-8000-000000000029,hsbc-hk-investment,Hong Kong dollar balance,HKD,Cash and FX,HKD,48000,1,1,Hong Kong,Cash
20000000-0000-4000-8000-000000000030,hsbc-hk-fundmax,China Technology Fund,CN-TECH,Unit trusts,HKD,12500,11.28,10.6,Mainland China,Technology
20000000-0000-4000-8000-000000000031,hsbc-hk-fundmax,Global Balanced Fund,GBF,Unit trusts,USD,2200,31.6,28.7,Global,Multi-sector
20000000-0000-4000-8000-000000000032,hsbc-hk-fundmax,US Bond Fund,US-BOND,Unit trusts,USD,4100,10.45,10.2,United States,Fixed income
20000000-0000-4000-8000-000000000033,hsbc-hk-fundmax,Asia Dividend Fund,ASIA-DIV,Unit trusts,HKD,8600,8.35,7.8,Hong Kong,Financials
20000000-0000-4000-8000-000000000034,hsbc-hk-fundmax,Global Infrastructure Fund,GIFRA,Unit trusts,USD,1750,15.8,14.9,Europe,Utilities
20000000-0000-4000-8000-000000000035,standard-chartered-hk,NetEase,09999,Stocks,HKD,300,173.4,162,Mainland China,Technology
20000000-0000-4000-8000-000000000036,standard-chartered-hk,US Treasury Note,UST-2028,Bonds,USD,70000,1.018,0.995,United States,Government
20000000-0000-4000-8000-000000000037,standard-chartered-hk,Global equity-linked note,GL-ELN,Structured products,USD,50000,1.036,1,Global,Multi-sector
20000000-0000-4000-8000-000000000038,standard-chartered-hk,Hong Kong savings policy,HK-SAVINGS,Insurance,HKD,1,168000,150000,Hong Kong,Insurance
20000000-0000-4000-8000-000000000039,standard-chartered-hk,Global Energy Fund,GEF,Unit trusts,USD,1400,18.6,20.5,Global,Energy
20000000-0000-4000-8000-000000000040,standard-chartered-hk,US dollar balance,USD,Cash and FX,USD,18500,1,1,United States,Cash
20000000-0000-4000-8000-000000000041,bank-connection,Singapore equity fund,SG-EQUITY,Unit trusts,SGD,2000,2.15,1.95,,
20000000-0000-4000-8000-000000000042,bank-connection,Singapore Government Bond,SGS,Bonds,SGD,15000,1.03,1,,
20000000-0000-4000-8000-000000000043,bank-connection,Singapore dollar balance,SGD,Cash and FX,SGD,8500,1,1,,
20000000-0000-4000-8000-000000000044,statement-preview,INT’L ENT,00100,Stocks,HKD,300,0.6,0.55,,
20000000-0000-4000-8000-000000000045,statement-preview,BABA-SW,09988,Stocks,HKD,200,100,95,,
20000000-0000-4000-8000-000000000046,statement-preview,SHIMAO GROUP,00813,Stocks,HKD,100,1.1,1.2,,
20000000-0000-4000-8000-000000000047,statement-preview,CN HEALTH TECH,01069,Stocks,HKD,300,0.2,0.18,,
20000000-0000-4000-8000-000000000048,statement-preview,TENCENT,00700,Stocks,HKD,400,420,390,,
20000000-0000-4000-8000-000000000049,statement-preview,JD-SW,09618,Stocks,HKD,150,130,125,,
20000000-0000-4000-8000-000000000050,statement-preview,BYD ELECTRONICS,00285,Stocks,HKD,240,35,32,,
20000000-0000-4000-8000-000000000051,statement-preview,CCB,00939,Stocks,HKD,300,6.5,6,,
20000000-0000-4000-8000-000000000052,csv-import,Apple,AAPL,Stocks,USD,50,226.8,205,,
20000000-0000-4000-8000-000000000053,csv-import,Singapore dollar balance,SGD,Cash and FX,SGD,10000,1,1,,
20000000-0000-4000-8000-000000000054,csv-file-export,Apple,AAPL,Stocks,USD,50,226.8,205,,
20000000-0000-4000-8000-000000000055,csv-file-export,Vanguard S&P 500 ETF,VOO,Unit trusts,USD,25,518.2,476,,
20000000-0000-4000-8000-000000000056,csv-file-export,Singapore Government Bond,SGS,Bonds,SGD,20000,1.058,1,,
20000000-0000-4000-8000-000000000057,csv-file-export,Singapore dollar balance,SGD,Cash and FX,SGD,10000,1,1,,
